canonical_name,apmc_name,city,state,agmarknet_code,notes
Nashik,Nashik APMC,Nashik,Maharashtra,,Watch-zone mandi (supply zone Nashik).
Lasalgaon,Lasalgaon APMC,Lasalgaon (Nashik district),Maharashtra,,Asia's largest onion mandi; Nashik supply zone.
Solapur,Solapur APMC,Solapur,Maharashtra,,Watch-zone mandi (supply zone Solapur).
Mumbai,Mumbai APMC (Vashi),Navi Mumbai,Maharashtra,,National benchmark metro mandi.
Mumbai Fruit Market,Mumbai Fruit Market (Vashi APMC complex),Navi Mumbai,Maharashtra,,Metro F&V benchmark.
Mumbai Onion & Potato Market,Mumbai Onion & Potato Market (Vashi APMC complex),Navi Mumbai,Maharashtra,,Metro onion/potato benchmark.
Pune,Pune APMC,Pune,Maharashtra,,Major Maharashtra consumption mandi.
Meerut,Meerut APMC,Meerut,Uttar Pradesh,,Watch-zone mandi (supply zone Meerut).
Agra,Agra APMC,Agra,Uttar Pradesh,,Watch-zone mandi (supply zone Agra).
Lucknow,Lucknow APMC,Lucknow,Uttar Pradesh,,Major UP consumption mandi.
Noida,Noida APMC,Noida (Gautam Buddha Nagar),Uttar Pradesh,,Delhi-NCR mandi.
Ghaziabad,Ghaziabad APMC,Ghaziabad,Uttar Pradesh,,Delhi-NCR mandi.
Varanasi,Varanasi APMC,Varanasi,Uttar Pradesh,,Major eastern UP mandi.
Sahnewal,Sahnewal APMC,Sahnewal (Ludhiana district),Punjab,,Ludhiana supply-zone mandi; Agmarknet reports the Ludhiana district mandi under Sahnewal.
Khanna,Khanna APMC,Khanna (Ludhiana district),Punjab,,Ludhiana supply zone; large Punjab mandi.
Jalandhar City,Jalandhar City APMC,Jalandhar,Punjab,,Major Punjab mandi.
Indore,Indore APMC,Indore,Madhya Pradesh,,Watch-zone mandi (supply zone Indore).
Indore (F&V),Indore (F&V) APMC,Indore,Madhya Pradesh,,Indore supply-zone F&V mandi.
Bhopal,Bhopal APMC,Bhopal,Madhya Pradesh,,Major MP consumption mandi.
Kolar,Kolar APMC,Kolar,Karnataka,,Watch-zone mandi (supply zone Kolar).
Bengaluru,Bengaluru APMC,Bengaluru,Karnataka,,National benchmark metro mandi.
Bengaluru Binny Mill (FF&V),Binny Mill (FF&V) Bengaluru APMC,Bengaluru,Karnataka,,Metro F&V benchmark.
Belgaum,Belgaum APMC,Belagavi,Karnataka,,Watch-zone mandi (supply zone Belagavi).
Sheoraphuly,Sheoraphuly APMC,Sheoraphuli (Hooghly district),West Bengal,,Hooghly supply-zone mandi; Agmarknet reports Hooghly district under Sheoraphuly.
Kolkata Bara Bazar (Posta),Bara Bazar (Posta Bazar) APMC,Kolkata,West Bengal,,National benchmark metro mandi (Posta Bazar).
